ID,supplier_ID,vendorNumber,supplierName,year,yearLabel,amount
SUP-001-2024,SUP-001,SUP-001,IronBolt Inc,2024,2024,18636
SUP-001-2025,SUP-001,SUP-001,IronBolt Inc,2025,2025,20498
SUP-001-2026,SUP-001,SUP-001,IronBolt Inc,2026,2026,10271
SUP-002-2024,SUP-002,SUP-002,Advanced Materials Corp,2024,2024,17506
SUP-002-2025,SUP-002,SUP-002,Advanced Materials Corp,2025,2025,19541
SUP-002-2026,SUP-002,SUP-002,Advanced Materials Corp,2026,2026,9792
SUP-003-2024,SUP-003,SUP-003,Nordic Steel Solutions,2024,2024,23771
SUP-003-2025,SUP-003,SUP-003,Nordic Steel Solutions,2025,2025,26881
SUP-003-2026,SUP-003,SUP-003,Nordic Steel Solutions,2026,2026,13304
SUP-004-2024,SUP-004,SUP-004,Precision Components Ltd,2024,2024,23857
SUP-004-2025,SUP-004,SUP-004,Precision Components Ltd,2025,2025,26828
SUP-004-2026,SUP-004,SUP-004,Precision Components Ltd,2026,2026,13511
SUP-005-2024,SUP-005,SUP-005,Green Energy Systems,2024,2024,14777
SUP-005-2025,SUP-005,SUP-005,Green Energy Systems,2025,2025,15926
SUP-005-2026,SUP-005,SUP-005,Green Energy Systems,2026,2026,8169
SUP-006-2024,SUP-006,SUP-006,Industrial Automation GmbH,2024,2024,16023
SUP-006-2025,SUP-006,SUP-006,Industrial Automation GmbH,2025,2025,18291
SUP-006-2026,SUP-006,SUP-006,Industrial Automation GmbH,2026,2026,9307
SUP-007-2024,SUP-007,SUP-007,FluidTech Solutions,2024,2024,21311
SUP-007-2025,SUP-007,SUP-007,FluidTech Solutions,2025,2025,24084
SUP-007-2026,SUP-007,SUP-007,FluidTech Solutions,2026,2026,12062
SUP-008-2024,SUP-008,SUP-008,Smart Controls Inc,2024,2024,14026
SUP-008-2025,SUP-008,SUP-008,Smart Controls Inc,2025,2025,16211
SUP-008-2026,SUP-008,SUP-008,Smart Controls Inc,2026,2026,8146
SUP-009-2024,SUP-009,SUP-009,Supplier 9,2024,2024,16114
SUP-009-2025,SUP-009,SUP-009,Supplier 9,2025,2025,17758
SUP-009-2026,SUP-009,SUP-009,Supplier 9,2026,2026,9655
SUP-010-2024,SUP-010,SUP-010,Supplier 10,2024,2024,11777
SUP-010-2025,SUP-010,SUP-010,Supplier 10,2025,2025,12940
SUP-010-2026,SUP-010,SUP-010,Supplier 10,2026,2026,6534
SUP-011-2024,SUP-011,SUP-011,Supplier 11,2024,2024,16516
SUP-011-2025,SUP-011,SUP-011,Supplier 11,2025,2025,18099
SUP-011-2026,SUP-011,SUP-011,Supplier 11,2026,2026,9142
